# The query language's own function catalogue: a function name and the description the
# engine publishes for it. A schema token equal to a function's name is a fact about the
# standard this tool executes rather than an observation of any corpus, and the entry's
# own description is what states the words the name stands for — abs is published as
# "Absolute value", which is the citation, not a guess about it.
#
# Source: DuckDB's duckdb_functions() catalogue, read from the embedded engine at
#   version v1.5.5; scalar and aggregate functions only.
# Licence: DuckDB is distributed under the MIT licence
#   (https://github.com/duckdb/duckdb/blob/main/LICENSE). A function's name and the
#   description of what it computes are statements of the standard the tool runs.
# Generated by SqlFunctionExtraction: 506 functions.
!__postfix	Factorial of x. Computes the product of the current integer and all integers below it
&	Bitwise AND
&&	Returns true if the geometries bounding boxes intersect
**	Computes x to the power of y
<->	Calculates the Euclidean distance between two points with coordinates given in two inputs lists of equal length.
<<	Bitwise shift left
<=>	Computes the cosine distance between two same-sized lists.
<@	Returns true if all elements of list2 are in list1. NULLs are ignored.
>>	Bitwise shift right
@	Absolute value
@>	Returns true if all elements of list2 are in list1. NULLs are ignored.
^	Computes x to the power of y
^@	Returns `true` if `string` begins with `search_string`.
abs	Absolute value
acos	Computes the arccosine of x
acosh	Computes the inverse hyperbolic cos of x
age	Subtract arguments, resulting in the time difference between the two timestamps
aggregate	Executes the aggregate function `function_name` on the elements of `list`.
alias	Returns the name of a given expression
any_value	Returns the first non-NULL value from arg. This function is affected by ordering.
apply	Returns a list that is the result of applying the `lambda` function to each element of the input `list`. The return type is defined by the return type of the `lambda` function.
approx_count_distinct	Computes the approximate count of distinct elements using HyperLogLog.
approx_quantile	Computes the approximate quantile using T-Digest.
approx_top_k	Finds the k approximately most occurring values in the data set
arbitrary	Returns the first value (NULL or non-NULL) from arg. This function is affected by ordering.
arg_max	Finds the row with the maximum val. Calculates the non-NULL arg expression at that row.
arg_max_null	Finds the row with the maximum val. Calculates the arg expression at that row.
arg_max_nulls_last	Finds the rows with N maximum vals, including nulls. Calculates the arg expression at that row.
arg_min	Finds the row with the minimum val. Calculates the non-NULL arg expression at that row.
arg_min_null	Finds the row with the minimum val. Calculates the arg expression at that row.
arg_min_nulls_last	Finds the rows with N minimum vals, including nulls. Calculates the arg expression at that row.
argmax	Finds the row with the maximum val. Calculates the non-NULL arg expression at that row.
argmin	Finds the row with the minimum val. Calculates the non-NULL arg expression at that row.
array_agg	Returns a LIST containing all the values of a column.
array_aggr	Executes the aggregate function `function_name` on the elements of `list`.
array_aggregate	Executes the aggregate function `function_name` on the elements of `list`.
array_apply	Returns a list that is the result of applying the `lambda` function to each element of the input `list`. The return type is defined by the return type of the `lambda` function.
array_cat	Concatenates lists. `NULL` inputs are skipped. See also operator `||`.
array_concat	Concatenates lists. `NULL` inputs are skipped. See also operator `||`.
array_contains	Returns true if the list contains the element.
array_cosine_distance	Computes the cosine distance between two arrays of the same size. The array elements can not be `NULL`. The arrays can have any size as long as the size is the same for both arguments.
array_cosine_similarity	Computes the cosine similarity between two arrays of the same size. The array elements can not be `NULL`. The arrays can have any size as long as the size is the same for both arguments.
array_cross_product	Computes the cross product of two arrays of size 3. The array elements can not be `NULL`.
array_distance	Computes the distance between two arrays of the same size. The array elements can not be `NULL`. The arrays can have any size as long as the size is the same for both arguments.
array_distinct	Removes all duplicates and `NULL` values from a list. Does not preserve the original order.
array_dot_product	Computes the inner product between two arrays of the same size. The array elements can not be `NULL`. The arrays can have any size as long as the size is the same for both arguments.
array_extract	Extracts a single character from a `string` using a (1-based) `index`.
array_extract	Extracts the entry from an unnamed `STRUCT` (tuple) using an index (1-based).
array_extract	Extracts the named `entry` from the `STRUCT`.
array_filter	Constructs a list from those elements of the input `list` for which the `lambda` function returns `true`. DuckDB must be able to cast the `lambda` function's return type to `BOOL`. The return type of `list_filter` is the same as the input list's.
array_grade_up	Works like list_sort, but the results are the indexes that correspond to the position in the original list instead of the actual values.
array_has	Returns true if the list contains the element.
array_has_all	Returns true if all elements of list2 are in list1. NULLs are ignored.
array_has_any	Returns true if the lists have any element in common. NULLs are ignored.
array_indexof	Returns the index of the `element` if the `list` contains the `element`. If the `element` is not found, it returns `NULL`.
array_inner_product	Computes the inner product between two arrays of the same size. The array elements can not be `NULL`. The arrays can have any size as long as the size is the same for both arguments.
array_intersect	Returns a list containing the distinct elements that are present in both `list1` and `list2`.
array_length	Returns the length of the `list`.
array_length	`array_length` for lists with dimensions other than 1 not implemented
array_negative_dot_product	Computes the negative inner product between two arrays of the same size. The array elements can not be `NULL`. The arrays can have any size as long as the size is the same for both arguments.
array_negative_inner_product	Computes the negative inner product between two arrays of the same size. The array elements can not be `NULL`. The arrays can have any size as long as the size is the same for both arguments.
array_position	Returns the index of the `element` if the `list` contains the `element`. If the `element` is not found, it returns `NULL`.
array_reduce	Reduces all elements of the input `list` into a single scalar value by executing the `lambda` function on a running result and the next list element. The `lambda` function has an optional `initial_value` argument.
array_resize	Resizes the `list` to contain `size` elements. Initializes new elements with `value` or `NULL` if `value` is not set.
array_reverse_sort	Sorts the elements of the list in reverse order.
array_select	Returns a list based on the elements selected by the `index_list`.
array_slice	Extracts a sublist or substring using slice conventions. Negative values are accepted.
array_slice	list_slice with added step feature.
array_sort	Sorts the elements of the list.
array_transform	Returns a list that is the result of applying the `lambda` function to each element of the input `list`. The return type is defined by the return type of the `lambda` function.
array_unique	Counts the unique elements of a `list`.
array_value	Creates an `ARRAY` containing the argument values.
array_where	Returns a list with the `BOOLEAN`s in `mask_list` applied as a mask to the `value_list`.
array_zip	Zips n `LIST`s to a new `LIST` whose length will be that of the longest list. Its elements are structs of n elements from each list `list_1`, …, `list_n`, missing elements are replaced with `NULL`. If `truncate` is set, all lists are truncated to the smallest list length.
ascii	Returns an integer that represents the Unicode code point of the first character of the `string`.
asin	Computes the arcsine of x
asinh	Computes the inverse hyperbolic sin of x
atan	Computes the arctangent of x
atan2	Computes the arctangent (y, x)
atanh	Computes the inverse hyperbolic tan of x
avg	Calculates the average value for all tuples in x.
bar	Draws a band whose width is proportional to (`x - min`) and equal to `width` characters when `x` = `max`. `width` defaults to 80.
base64	Converts a `blob` to a base64 encoded string.
bin	Converts the `string` to binary representation.
bin	Converts the `value` to binary representation.
bit_and	Returns the bitwise AND of all bits in a given expression.
bit_count	Returns the number of bits that are set
bit_length	Number of bits in a `string`.
bit_length	Returns the bit-length of the `bit` argument.
bit_or	Returns the bitwise OR of all bits in a given expression.
bit_position	Returns first starting index of the specified substring within bits, or zero if it is not present. The first (leftmost) bit is indexed 1
bit_xor	Returns the bitwise XOR of all bits in a given expression.
bitstring	Pads the bitstring until the specified length
bitstring_agg	Returns a bitstring with bits set for each distinct value.
bool_and	Returns TRUE if every input value is TRUE, otherwise FALSE.
bool_or	Returns TRUE if any input value is TRUE, otherwise FALSE.
can_cast_implicitly	Whether or not we can implicitly cast from the source type to the other type
