# The BIAN Service Landscape as a functional taxonomy of what a bank does: service domains,
# the business domain each is stated inside and the business area that holds it, each carrying
# the role definition BIAN states its purpose in and the example of use it states beside it.
# Like every functional taxonomy here it is a distribution to compare against: nobody writes
# AccountReconciliation as a term of art in code.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# broader is the business domain; module is the business area. definition is the role
# definition and the example of use joined, which is what BIAN states about the domain's
# purpose. A domain BIAN states no role definition for is not carried.
#
# Source: BIAN's own published artefacts, one specification file per service domain, at
#   https://github.com/bian-official/artefacts/tree/a928c56e7989492f7214b2bd0ae7b204644efc03,
#   pinned by the SHA-256 ContentDigest states over the specification set:
#   a6eca3a102942b5cc699653f243c24cfe1923f6bb580cd99a9655e38ba49fa19.
# Licence: Apache-2.0, stated in the publisher's own LICENSE file at that revision.
# Generated by BianServiceDomainsExtraction: 319 service domains.
ACHFulfillment	ACH Fulfillment		Clearing And Settlement	service-domain	Operations	This service domain handles the operational interface with an external automated clearing house (ACH) service. It handles the sending and receipt of batched transactions, servicing reporting and executes the schedule of service operations A payment is made between two customers of different banks. The payment is processed via an automated clearing house.	
ATMNetworkManagement	ATM Network Management		Channel Management	service-domain	Business Development	Configure the allocation of products and services across the ATM network and oversee ATM access registration & controls A new set of standalone ATM's is installed at an airport and configured with limited services to ensure high availability for cash dispensing	
ATMNetworkOperations	ATM Network Operations		Channel Specific	service-domain	Channels	This service domain handles all automated aspects of operating the ATM network. This includes tracking the movement of cash and documents through the network and its ATM devices. It also handles the detection and response to device errors and alerts, including overseeing the physical movement of cash and documents and the handling of device alerts and outages Example of use:. A bank tracks the distribution and retrieval of cash inventory across its ATM network of operations	
AccountReconciliation	Account Reconciliation		Accounting Services	service-domain	Operations	Match, reconcile and resolve identified discrepancies between accounts. Includes nostro/vostro arrangements A scheduled reconciliation task is performed for the nostro/vostro accounts and discrepancies identified and resolved	
AccountRecovery	Account Recovery		Custody, Collateral And Documents	service-domain	Operations	Handles the recovery of distressed accounts that have exceeded standard late/payment handling but have not yet been fully written off and passed to collections. The restructuring can involve partial write downs and leveraging any tax or other program of assistance that can be applied. The situation is managed until the account is recovered or a decision made to pass the account over to collections A non-performing customer account is handed over for recovery after the normal relationship management efforts have failed. Additional authority is provided to renegotiate/structure the account to enable the customer to attempt recovery. This restructuring can result in write downs that need to be booked appropriately.	
AccountsReceivable	Accounts Receivable		Accounting Services	service-domain	Operations	Manage the tracking, chasing and receipt of scheduled payments against issued invoices. For the significant majority accounts are likely to be settled in compliance with established arrangements. For late payment the Service Domain includes actions to negotiate with the customer and handle defaulted payments A product business unit submits an invoice to a customer for services rendered that requires customer payment from an account not managed by the bank.	
AdvancedVoiceServicesManagement	Advanced Voice Services Management		Channel Management	service-domain	Business Development	Handles the oversight and configuration of the PBX (telephony/voice) access channel. This includes assessing capacity, performance, scheduling maintenance and updates to the channel configuration. Also determining allowed access and usage and troubleshooting major production problems Management review and define the reconfiguration requirements for the voice channel based on capacity/volume projections	
AdvancedVoiceServicesOperations	Advanced Voice Services Operations		Channel Specific	service-domain	Channels	This service domain handles the operation of the PBX/telephony infrastructure which can include embedded IVR capabilities. The PBX system will have close integration with the call center and E-Branch capabilities depending on the degree of computer telephony integration (CTI) and cross channel support Example of use:. The numeric menu is adjusted to increase self-serve activity during a period of peak loading (this could be implemented in the IVR in a more sophisticated set-up)	
Advertising	Advertising		Marketing And Development	service-domain	Business Development	Oversee the use and assess the coverage and impact of advertising campaigns. Direct advertising campaign execution to maximize business impact. Oversee advertising campaign design and development activity. Business development reviews market research to determine levels of awareness for selected bank products and initiates an advertising campaign to raise awareness	
ApprovedSupplierDirectory	Approved Supplier Directory		Financial Control	service-domain	Finance And Risk Management	Select and maintain as suitable collection of suppliers covering the range of requirements. Track performance and retain and deselect suppliers to maintain a competitive range of suppliers Work is matched to the approved supplier list and candidates put forward for selection. Delivery performance is reviewed to update the ratings of the suppliers for later assessment and selection purposes	
ArchiveServices	Archive Services		Custody, Collateral And Documents	service-domain	Operations	Provide long term archiving and retrieval services for documents and electronic media Infrequently accessed documents are archived to lower cost storage in compliance with banking regulations	
AssetAndLiabilityManagement	Asset And Liability Management		Business Direction	service-domain	Business Management	A central policy and direction capability that reviews consolidated bank P&L profile and performance and defines and directs asset and liability policies. Also sanctions and/or influences large transactions The bank's senior policy makers review that bank's book performance and amend guidelines to remain within policy directives	
AssetSecuritization	Asset Securitization		Group Treasury	service-domain	Finance And Risk Management	This service domain supports the bank's selection, securitization and sale of bank customer loan assets. This may be undertaken to adjust the make-up of the loan portfolio or to raise funds to support the bank's operations. The process includes the selection, packaging, pricing and placement of the loan assets Example of use:. A bank schedules a review of its loan book in order to improve its portfolio and/or raise capital by securitizing selected assets	
BankDraftsAndTravelersChecks	Bank Drafts And Travelers Checks		Trade Banking	service-domain	Products	Administer the pricing, recording and generation of Bank Drafts and T.Checks A customer acquires a number of travelers checks	
BankGuarantee	Bank Guarantee		Trade Banking	service-domain	Products	Orchestrate the pricing, issuance and subsequent fulfillment activities for Bank Guarantees as used in corporate/correspondent trade and project finance activity A bank guarantee is provided to a corporate client to cover international trade finance deal	
BankPortfolioAdministration	Bank Portfolio Administration		Group Treasury	service-domain	Finance And Risk Management	Consolidate, ratify, correct and present timely transaction information to support the analysis of the bank's consolidated 'book of business' The consolidated view of bank activity covering its asset and liability activity is assembled and ratified for analysis	
BankPortfolioAnalysis	Bank Portfolio Analysis		Group Treasury	service-domain	Finance And Risk Management	Define and maintain a broad collection of analytical views and ad-hoc analyses into the consolidated book of business for the enterprise. Develop and refine analyses in response to events and detected trends A financial analysis of the bank's consolidated activity is assembled for consideration by the bank's asset and liability policy unit	
BranchCurrencyDistribution	Branch Currency Distribution		Distribution	service-domain	Channels	This service domain handles the scheduling and secure distribution of currency throughout the branch network (for bank branches and remote ATM locations). It ensures the required float is maintained at locations and undertakes the movement into and out of central currency holding facilities as necessary to ensure cash availability Example of use:. ATMs at a branch location are stocked with currency in response to anticipated customer demand	
