# Wiktionary topic hierarchy, one row per topic: the topic and the broader topics it
# generalises to, comma-separated. This is the map that produced the broader labels already
# sitting in wiktionary-topics.tsv — wiktextract applies it transitively as it extracts a
# sense's topics, so a sense labelled computing arrives carrying engineering, mathematics,
# natural-sciences, physical-sciences and sciences besides. Reading it back is what tells a
# label a headword states from one another of its labels already implies.
#
# Source: wiktextract's own topic_generalize_map, read from
#   https://raw.githubusercontent.com/tatuylonen/wiktextract/872fc7bfc15c388eca84591268d6f35759c42290/src/wiktextract/topics.py.
# Licence: MIT, Copyright (c) 2018-2020 Tatu Ylonen
#   (https://github.com/tatuylonen/wiktextract/blob/master/LICENSE). The map is
#   wiktextract's own source, not Wiktionary content, so the CC BY-SA terms carried by the
#   topic vocabulary it labels do not attach to this file.
# Generated by TopicHierarchyExtraction: 816 topics.
(sport)	sports
ACG	video-games
Abrahamic-religions	religion
American-football	football
Anatomy	anatomy
Ayurveda	alternative-medicine
BDSM	sexuality
Buddhism	religion
Buddhist	Buddhism
CAD	computing,engineering
CSS	Internet
Catholicism	Christianity
Chinese-cuisine	Chinese-cuisine
DVD	media
ESA	aerospace
Eastern-Christianity	Christianity
Egyptology	history
Freemasonry	freemasonry
Gnosticism	religion
IRC	Internet
Indian-Chinese-cuisine	Chinese-cuisine
Indian-cookery	cooking,cuisine
Islam	religion
Kantianism	philosophy
LGBT	sexuality
Linux	software
Lisp	programming
MIDI	music
MMORPG	Internet,video-games
Magic:-The-Gathering	games
NASA	aerospace
Ornithology	ornithology
Protestantism	Christianity
Roman-Catholicism	Catholicism
Rubik's-Cube	games
SI-units	units-of-measure
Scientology	religion
Scouting	lifestyle
Scrabble	board-games
Shingon-Buddhism	Buddhism
Shinto	religion
Sufism	Islam,mysticism
Tendai-or-Kegon-Buddhism	Buddhism
Tham	Buddhism
Western-Christianity	Christianity
Wicca	religion
Windows	software
Zen-and-Pure-Land-Buddhism	Buddhism
Zoroastrianism	religion
academia	scholarly
acarology	zoology
accounting	finance
acrobatics	performing-arts
acting	film,theater
advertising	marketing
aerial-freestyle	skiing
aerodynamics	aerospace,physics
aeronautics	aerospace
aerospace	business,engineering
agri.	agriculture
agriculture	business,lifestyle
alchemy	pseudoscience
algebra	mathematics
algebraic-geometry	geometry
algebraic-topology	topology
alpine-skiing	skiing
alternative-medicine	alternative-medicine,medicine
analytic-number-theory	number-theory
anarchism	ideology
anatomy	medicine
andrology	medicine
anesthesiology	medicine
angelology	theology
anime	film
anthropodology	anthropology
anthropology	human-sciences
applied-sciences	engineering,sciences
arachnology	zoology
archaeology	history
archery	martial-arts
areology	astronomy,geology
arithmetics	mathematics
army	military
art	arts
art-history	history
artillery	weaponry
astrocartography	uranography
astrogeology	astronomy,geology
astrology	mysticism
astrology-signs	astrology
astronautics	aerospace
astronomy	natural-sciences
athletics	sports
audio	electrical-engineering
authorship	film,writing
automobile	automotive
automotive	vehicles
aviation	aeronautics
backgammon	games
bacteriology	microbiology
baile-funk	music
baking	cooking
ball-games	ball-games,games,sports
ballistics	physics,weaponry
ballooning	sports
banking	business
baseball	ball-games
basketball	ball-games
beekeeping	agriculture
beer	beverages
behavior	psychology
behavioral-sciences	psychology
beverages	food
biblical	religion
bibliography	information-science
billiards	ball-games
bingo	games
biochemistry	chemistry,microbiology
biogeography	biology,geography
bioinformatics	biology,computing
biological-category	taxonomy
biology	natural-sciences
biotechnology	engineering,medicine
birdwashing	hobbies
birdwatching	ornithology
blackjack	games
blogging	Internet
board-games	games
body	anatomy
bodybuilding	sports
bone	anatomy
bookbinding	crafts
botany	biology
bowling	sports
bowmaking	crafts
boxing	martial-arts
brewing	beverages,manufacturing
brick-making	manufacturing
bridge	games
broadcasting	media
bryology	botany
buddhism	religion
bullfighting	entertainment
calculus	mathematics
calligraphy	arts,writing
campanology	history
capitalism	ideology
card-games	games
cardiology	medicine
cards	card-games
carnaval	lifestyle
carpentry	construction
cartography	geography
cartomancy	mysticism
castells	acrobatics
category-theory	computing,mathematics
caving	hobbies
cellular-automata	computing,mathematics
ceramics	chemistry,engineering
checkers	board-games
cheerleading	sports
chemistry	physical-sciences
chess	board-games
chromatography	chemistry
chronology	horology
cigars	lifestyle
cinematography	film
circus	performing-arts
cities	region
city	cities
civil-engineering	engineering
classical-studies	history
climate	meteorology
climatology	natural-sciences
climbing	sports
clinical-psychology	psychology
clothing	fashion,textiles
codicology	history
colleges	education
colorimetry	physics
colour	color
combinatorics	mathematics
comedy	entertainment
comics	literature
commerce	business
commercial	commerce
communication	communications
communism	ideology
complex-analysis	mathematics
computational	computing
computer	computing
computer-games	games
computer-graphics	computing
computer-hardware	computing
computer-languages	computing
computer-sciences	computing
computer-software	computing
computing	engineering,mathematics
computing-theory	computing,mathematics
conchology	zoology
conservation	biology,history
console	video-games
construction	manufacturing
continents	region
cooking	food
copyright	intellectual-property
cosmetics	lifestyle
cosmology	astronomy
countries	geography
countries-of-Africa	countries
countries-of-Asia	countries
countries-of-Central-America	countries
countries-of-Europe	countries
countries-of-North-America	countries
countries-of-Oceania	countries
countries-of-South-America	countries
country	region
country-dancing	dancing
court	government,law
crafts	arts,hobbies
cranes	tools
creationism	religion
cricket	ball-games
criminology	human-sciences,law
crocheting	crafts
cryptocurrencies	cryptocurrency
cryptocurrency	finance
cryptography	computing
cryptozoology	zoology
crystallography	chemistry
cuisine	food
culinary	cuisine
curling	ball-games
cutting	textiles
cycling	sports
cytology	biology,medicine
dance	dancing
dancing	sports
darts	games
databases	computing
days-of-the-week	weekdays
demographics	demography
demography	demographics
demonology	religion
demoscene	computing,lifestyle
dentistry	medicine
dermatology	medicine
design	arts
dialectology	linguistics
dice	games
diplomacy	politics
diving	sports
dogs	pets
dominoes	games
drafting	engineering
drama	dramaturgy
dramaturgy	film,theater
dressage	horses
dressmaking	textiles
drugs	pharmacology
duration	time
dyeing	textiles
ecclesiastical	religion
ecology	biology
economic-liberalism	ideology
economics	sciences
editing	publishing,writing
electric-power	electrical-engineering,energy
electrical	electricity
electrical-device	electrical-engineering
electrical-engineering	engineering
electricity	electrical-engineering,electromagnetism,energy
electrochemistry	chemistry
electromagnetic-radiation	electromagnetism
electromagnetism	electrical-engineering,physics
electronic-communication	telecommunications
electronics	electricity
electronics-manufacturing	manufacturing
electrotechnology	electrical-engineering
embryology	medicine
emergency-medicine	medicine
encryption	cryptography
endocrinology	medicine
energy	business,physics
engineering	physical-sciences
engraving	crafts
enology	oenology
entertainment	lifestyle
entertainment-industry	economics,entertainment
enthnology	human-sciences
entomology	biology
epidemiology	medicine
epigraphy	history,literature
epistemology	philosophy
equestrian	horses
equestrianism	horses
equitation	horses
espionage	government,military
ethics	philosophy
ethnography	anthropology
ethnology	anthropology
etymology	linguistics
exercise	sports
existentialism	philosophy
extra-cluster-medium	cosmology
extragalactic-medium	cosmology
fabrics	textiles
falconry	hunting
farriery	horses
fascism	ideology
fashion	lifestyle
fasteners	mechanical-engineering
feminism	ideology
fencing	martial-arts
feudalism	politics
fiction	literature
film	television
finance	business
finances	finance
financial	finance
firearms	weaponry
firefighting	government
fish	ichthyology
fisheries	ecology
fishing	hobbies
flowery	lifestyle
fluid-dynamics	physics
fluids	chemistry,engineering,physics
folklore	arts,history,literature
food	lifestyle
food-manufacture	manufacturing
football	ball-games
forestry	business
fortification	fortifications
fortifications	military
freemasonry	lifestyle
fundamental-interactions	physics
furniture	lifestyle
gambling	games
game-of-Go	board-games
game-theory	computing,mathematics
gaming	games
gastroenterology	medicine
gem-cutting	jewelry
gemmology	gemology
gemology	geology,jewelry
genetics	biology,medicine
geographical-region	region
geography	natural-sciences
geological-oceanography	geology,oceanography
geology	geography
geometry	mathematics
geomorphology	geology
geopolitics	politics
gerontology	medicine
glaciology	geography
glassblowing	crafts
glassmaking	manufacturing
golf	sports
graffiti	visual-arts
grammar	linguistics
graph-theory	mathematics
graphic-design	arts
graphical-user-interface	computing
graphonomics	writing
group-theory	mathematics
guitar	music
gymnastics	sports
gynaecology	medicine
hagiography	history,religion
hairdressing	crafts
hairstyle	hairdressing
handball	ball-games
handbells	music
hawking	falconry
health	medicine
healthcare	government
hematology	medicine
hepatology	medicine
heraldry	hobbies,nobility
herpetology	zoology
higher-education	education
hinduism	religion
hip-hop	dancing
histology	biology
histopathology	histology,pathology
historical-demography	demography
historical-ethnography	ethnography,history
historical-geography	geography,history
historiography	history
history	human-sciences
hobbies	lifestyle
