# The Computer Science Ontology as a term taxonomy: the topics computer science research is
# indexed by, each with the label CSO states for it and the equivalent labels it states beside it.
# CSO states NO definition for any topic, so this is matched against declared names like OLiA and
# FIBO and cannot be read as a functional taxonomy — there is no prose to compare a scope against.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# definition is empty for every row because CSO publishes none.
#
# CSO is a POLY-HIERARCHY: 9927 of its 14624 topics with a parent are stated beneath more than one, up
# to 33. Every parent is carried, joined with the separator SkosConcept states for a repeated
# property, and SkosConcept.broaderConcepts reads them back. Nothing is dropped.
#
# Source: CSO 3.5, https://cso.kmi.open.ac.uk/download (CSO.3.5.csv; the download states no
#   revision, so there is no commit to pin and the archive is the citation).
# Licence: Creative Commons Attribution 4.0 International (CC BY 4.0) — "you can freely copy,
#   share, adapt, and build upon the data for any purpose, including commercial use, as long as
#   you give appropriate credit to the original creators". Credit: the Computer Science Ontology,
#   Knowledge Media Institute, The Open University, and NOTICE.md carries it.
#   The downloaded archive itself states no licence and carries no licence file; these terms were
#   supplied by the maintainer of this repository rather than read from the archive.
# NOT BUNDLED YET: no vocabulary is bundled until the extractors are one runner.
%28100%29_silicon	(100) silicon		nems	topic			
%28e_%2C3e%29_process	(e ,3e) process		computer communication networks | computer network | computer networks | process engineering	topic			
%28i_%2Cj%29_conditions	(i ,j) conditions		applied (co)	topic			
%28min_%2Cmax_%2C%2B%29_functions	(min ,max ,+) functions		computer communication networks | computer network | computer networks	topic			
0%2F1_knapsack_problems	0/1 knapsack problems		0-1 knapsack problem | knapsack problem | knapsack problems | multi objective optimizations (moo) | multi-objective optimisation | multi-objective optimization | multi-objective optimizations | multiobjective optimisation | multiobjective optimization	topic			
0-1_knapsack_problem	0-1 knapsack problem	knapsack problem | knapsack problems	combinatorial optimisation | combinatorial optimization | combinatorial optimization problems	topic			
1064_nm	1064 nm		neodymium lasers | optical radar | pumping (laser)	topic			
10_gb%2F_s	10 gb/ s		engineers | fiber optic networks | optical materials	topic			
16s_rrna	16s rrna	16s rrna | 16s rrna gene	dna 16s | rna 16s | taxonomy	topic			
16s_rrna_gene	16s rrna gene	16s rrna	dna 16s | rna 16s | taxonomy	topic			
18s_rrna	18s rrna		rna 18s	topic			
1db_compression_point	1db compression point		low power | microwaves | power gains	topic			
2-d_discrete_wavelet_transforms	2-d discrete wavelet transforms		discrete wavelet transform | discrete wavelet transform (dwt) | discrete wavelet transforms	topic			
2-d_model	2-d model		3d data | 3d model | 3d modeling | 3d modelling | 3d models | 3d object | 3d objects | 3d scenes	topic			
28s_rrna	28s rrna		18s rrna | rna 28s	topic			
2d_video	2d video		video coding	topic			
3-axis_accelerometer	3-axis accelerometer		accelerometer | accelerometers	topic			
3-d_displays	3-d displays	3-d displays | 3d display	display devices	topic			
3-d_imaging	3-d imaging	3d imaging	imaging systems | three dimensional imaging	topic			
3-d_integrated_circuit	3-d integrated circuit		through silicon vias | through-silicon-via	topic			
