# Conventional Commits 1.0.0: the commit types and the breaking-change footer the
# specification states for a commit message's first line. A commit prefixed fix: writes
# the specification's word, not the author's, so a statement parsed under this grammar
# can be cited to the standard the way a language keyword is cited to its specification.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# concept and prefLabel are the token as the specification writes it. kind is type or
# footer. module is specification for the tokens the specification defines itself — feat,
# fix and the BREAKING CHANGE footer — and angular-convention for the types it names as
# recommended by @commitlint/config-conventional, whose definitions are the Angular
# convention's own at the revision the specification's link pins. chore is named there
# and defined by neither source, so its definition is empty. altLabel, broader and note
# are empty: neither source states another label, a hierarchy or a remark.
#
# Name: Conventional Commits 1.0.0
# Short name: Conventional Commits
# Publisher: the Conventional Commits contributors
# Published at: https://www.conventionalcommits.org/en/v1.0.0/
# Kind: identifiers
# Description: Conventional Commits: the change types a commit message's first line states.
# Subject: change description
# Source: https://github.com/conventional-commits/conventionalcommits.org/blob/7d293dc59e88abc8ce6c6698344d4da518ff3f27/content/v1.0.0/index.md;
#   type definitions from https://github.com/angular/angular/blob/22b96b96902e1a42ee8c5e807720424abad3082a/CONTRIBUTING.md,
#   the revision the specification's own link pins.
# Licence: MIT for both sources — the specification site
#   (https://github.com/conventional-commits/conventionalcommits.org/blob/master/LICENSE)
#   and the Angular repository (https://github.com/angular/angular/blob/main/LICENSE).
# Generated by ConventionalCommitTypesExtraction: 11 tokens.
BREAKING CHANGE	BREAKING CHANGE			footer	specification	a commit that has a footer BREAKING CHANGE:, or appends a ! after the type/scope, introduces a breaking API change (correlating with MAJOR in Semantic Versioning). A BREAKING CHANGE can be part of commits of any type.	
build	build			type	angular-convention	Changes that affect the build system or external dependencies (example scopes: gulp, broccoli, npm)	
chore	chore			type	angular-convention		
ci	ci			type	angular-convention	Changes to our CI configuration files and scripts (example scopes: Travis, Circle, BrowserStack, SauceLabs)	
docs	docs			type	angular-convention	Documentation only changes	
feat	feat			type	specification	a commit of the type feat introduces a new feature to the codebase (this correlates with MINOR in Semantic Versioning).	
fix	fix			type	specification	a commit of the type fix patches a bug in your codebase (this correlates with PATCH in Semantic Versioning).	
perf	perf			type	angular-convention	A code change that improves performance	
refactor	refactor			type	angular-convention	A code change that neither fixes a bug nor adds a feature	
style	style			type	angular-convention	Changes that do not affect the meaning of the code (white-space, formatting, missing semi-colons, etc)	
test	test			type	angular-convention	Adding missing tests or correcting existing tests	
