# The Common Weakness Enumeration, as the terms a program working in security actually
# writes. A weakness's name is a phrase — improper access control, integer overflow, use
# after free — and a phrase is what a repository outside the domain does not hit by
# accident. Each concept is the weakness's own permalink, so a match cites MITRE's page
# for it.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# prefLabel is the weakness's own name. broader is its ChildOf relation in the research
# view — view 1000, CWE's one hierarchical statement of what is a kind of what — under the
# parent's own name, joined with " | " where more than one parent is stated. kind is the
# abstraction level MITRE states: Pillar, Class, Base, Variant or Compound. altLabel pools
# the publisher's alternate terms. definition is the weakness's own description with its
# line breaks collapsed. NOT CARRIED, and said outright: categories and views — a category
# is a grouping a view draws for navigation, not a weakness.
#
# Source: the CWE 4.13 catalog XML as the OWASP cwe-sdk-javascript repository vendors it,
#   at https://github.com/OWASP/cwe-sdk-javascript/tree/477ff29b8a6fcb0c5e8fe7234f0af736d41c203c,
#   pinned by the blob id that revision holds:
#   8338e6520a20df70ca3f7b8cb7768750a842165f.
# Licence: CWE is copyright The MITRE Corporation, and the CWE Terms of Use at
#   https://cwe.mitre.org/about/termsofuse.html state that CWE is free to use by any
#   organization or individual for any research, development, and/or commercial purposes,
#   under a non-exclusive, royalty-free licence, on condition that MITRE's copyright
#   designation and the licence are reproduced in any copy — which this header and
#   NOTICE.md carry. The archive itself states no terms; the terms were read from MITRE's
#   own page, and this header records that.
# Generated by CweTermsExtraction: 959 weaknesses.
https://cwe.mitre.org/data/definitions/1004.html	Sensitive Cookie Without 'HttpOnly' Flag		Incorrect Permission Assignment for Critical Resource	Variant		The product uses a cookie to store sensitive information, but the cookie is not marked with the HttpOnly flag.	
https://cwe.mitre.org/data/definitions/1007.html	Insufficient Visual Distinction of Homoglyphs Presented to User	Homograph Attack	User Interface (UI) Misrepresentation of Critical Information	Base		The product displays information or identifiers to a user, but the display mechanism does not make it easy for the user to distinguish between visually similar or identical glyphs (homoglyphs), which may cause the user to misinterpret a glyph and perform an unintended, insecure action.	
https://cwe.mitre.org/data/definitions/102.html	Struts: Duplicate Validation Forms		Use of Multiple Resources with Duplicate Identifier | Improper Use of Validation Framework	Variant		The product uses multiple validation forms with the same name, which might cause the Struts Validator to validate a form that the programmer does not expect.	
https://cwe.mitre.org/data/definitions/1021.html	Improper Restriction of Rendered UI Layers or Frames	Clickjacking | UI Redress Attack | Tapjacking	Unintended Proxy or Intermediary ('Confused Deputy') | User Interface (UI) Misrepresentation of Critical Information	Base		The web application does not restrict or incorrectly restricts frame objects or UI layers that belong to another application or domain, which can lead to user confusion about which interface the user is interacting with.	
https://cwe.mitre.org/data/definitions/1022.html	Use of Web Link to Untrusted Target with window.opener Access	tabnabbing	Incorrect Privilege Assignment	Variant		The web application produces links to untrusted external sites outside of its sphere of control, but it does not properly prevent the external site from modifying security-critical properties of the window.opener object, such as the location property.	
https://cwe.mitre.org/data/definitions/1023.html	Incomplete Comparison with Missing Factors		Incorrect Comparison	Class		The product performs a comparison between entities that must consider multiple factors or characteristics of each entity, but the comparison does not include one or more of these factors.	
https://cwe.mitre.org/data/definitions/1024.html	Comparison of Incompatible Types		Incorrect Comparison	Base		The product performs a comparison between two entities, but the entities are of different, incompatible types that cannot be guaranteed to provide correct results when they are directly compared.	
https://cwe.mitre.org/data/definitions/1025.html	Comparison Using Wrong Factors		Incorrect Comparison	Base		The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.	
https://cwe.mitre.org/data/definitions/103.html	Struts: Incomplete validate() Method Definition		Improper Following of Specification by Caller	Variant		The product has a validator form that either does not define a validate() method, or defines a validate() method but does not call super.validate().	
https://cwe.mitre.org/data/definitions/1037.html	Processor Optimization Removal or Modification of Security-critical Code		Insecure Automated Optimizations	Base		The developer builds a security-critical protection mechanism into the software, but the processor optimizes the execution of the program such that the mechanism is removed or modified.	
https://cwe.mitre.org/data/definitions/1038.html	Insecure Automated Optimizations		Improper Interaction Between Multiple Correctly-Behaving Entities | Reliance on Undefined, Unspecified, or Implementation-Defined Behavior	Class		The product uses a mechanism that automatically optimizes code, e.g. to improve a characteristic such as performance, but the optimizations can have an unintended side effect that might violate an intended security assumption.	
https://cwe.mitre.org/data/definitions/1039.html	Automated Recognition Mechanism with Inadequate Detection or Handling of Adversarial Input Perturbations		Protection Mechanism Failure | Incorrect Comparison	Class		The product uses an automated mechanism such as machine learning to recognize complex data inputs (e.g. image or audio) as a particular concept or category, but it does not properly detect or handle inputs that have been modified or constructed in a way that causes the mechanism to detect a different, incorrect concept.	
https://cwe.mitre.org/data/definitions/104.html	Struts: Form Bean Does Not Extend Validation Class		Improper Following of Specification by Caller	Variant		If a form bean does not extend an ActionForm subclass of the Validator framework, it can expose the application to other weaknesses related to insufficient input validation.	
https://cwe.mitre.org/data/definitions/1041.html	Use of Redundant Code		Improper Adherence to Coding Standards	Base		The product has multiple functions, methods, procedures, macros, etc. that contain the same code.	
https://cwe.mitre.org/data/definitions/1042.html	Static Member Data Element outside of a Singleton Class Element		Inefficient CPU Computation	Variant		The code contains a member element that is declared as static (but not final), in which its parent class element is not a singleton class - that is, a class element that can be used only once in the 'to' association of a Create action.	
https://cwe.mitre.org/data/definitions/1043.html	Data Element Aggregating an Excessively Large Number of Non-Primitive Elements		Excessively Complex Data Representation	Base		The product uses a data element that has an excessively large number of sub-elements with non-primitive data types such as structures or aggregated objects.	
https://cwe.mitre.org/data/definitions/1044.html	Architecture with Number of Horizontal Layers Outside of Expected Range		Improper Adherence to Coding Standards	Base		The product's architecture contains too many - or too few - horizontal layers.	
https://cwe.mitre.org/data/definitions/1045.html	Parent Class with a Virtual Destructor and a Child Class without a Virtual Destructor		Insufficient Adherence to Expected Conventions	Base		A parent class has a virtual destructor method, but the parent has a child class that does not have a virtual destructor.	
https://cwe.mitre.org/data/definitions/1046.html	Creation of Immutable Text Using String Concatenation		Inefficient CPU Computation	Base		The product creates an immutable text string using string concatenation operations.	
https://cwe.mitre.org/data/definitions/1047.html	Modules with Circular Dependencies		Excessive Code Complexity	Base		The product contains modules in which one module has references that cycle back to itself, i.e., there are circular dependencies.	
https://cwe.mitre.org/data/definitions/1048.html	Invokable Control Element with Large Number of Outward Calls		Improper Adherence to Coding Standards	Base		The code contains callable control elements that contain an excessively large number of references to other application objects external to the context of the callable, i.e. a Fan-Out value that is excessively large.	
https://cwe.mitre.org/data/definitions/1049.html	Excessive Data Query Operations in a Large Data Table		Inefficient CPU Computation	Base		The product performs a data query with a large number of joins and sub-queries on a large data table.	
https://cwe.mitre.org/data/definitions/105.html	Struts: Form Field Without Validator		Improper Use of Validation Framework	Variant		The product has a form field that is not validated by a corresponding validation form, which can introduce other weaknesses related to insufficient input validation.	
https://cwe.mitre.org/data/definitions/1050.html	Excessive Platform Resource Consumption within a Loop		Asymmetric Resource Consumption (Amplification)	Base		The product has a loop body or loop condition that contains a control element that directly or indirectly consumes platform resources, e.g. messaging, sessions, locks, or file descriptors.	
https://cwe.mitre.org/data/definitions/1051.html	Initialization with Hard-Coded Network Resource Configuration Data		Incorrect Initialization of Resource	Base		The product initializes data using hard-coded values that act as network resource identifiers.	
https://cwe.mitre.org/data/definitions/1052.html	Excessive Use of Hard-Coded Literals in Initialization		Incorrect Initialization of Resource	Base		The product initializes a data element using a hard-coded literal that is not a simple integer or static constant element.	
https://cwe.mitre.org/data/definitions/1053.html	Missing Documentation for Design		Insufficient Technical Documentation	Base		The product does not have documentation that represents how it is designed.	
https://cwe.mitre.org/data/definitions/1054.html	Invocation of a Control Element at an Unnecessarily Deep Horizontal Layer		Insufficient Encapsulation	Base		The code at one architectural layer invokes code that resides at a deeper layer than the adjacent layer, i.e., the invocation skips at least one layer, and the invoked code is not part of a vertical utility layer that can be referenced from any horizontal layer.	
https://cwe.mitre.org/data/definitions/1055.html	Multiple Inheritance from Concrete Classes		Excessively Complex Data Representation	Base		The product contains a class with inheritance from more than one concrete class.	
https://cwe.mitre.org/data/definitions/1056.html	Invokable Control Element with Variadic Parameters		Excessive Code Complexity	Base		A named-callable or method control element has a signature that supports a variable (variadic) number of parameters or arguments.	
https://cwe.mitre.org/data/definitions/1057.html	Data Access Operations Outside of Expected Data Manager Component		Insufficient Encapsulation	Base		The product uses a dedicated, central data manager component as required by design, but it contains code that performs data-access operations that do not use this data manager.	
https://cwe.mitre.org/data/definitions/1058.html	Invokable Control Element in Multi-Thread Context with non-Final Static Storable or Member Element		Improper Synchronization	Base		The code contains a function or method that operates in a multi-threaded environment but owns an unsafe non-final static storable or member data element.	
https://cwe.mitre.org/data/definitions/1059.html	Insufficient Technical Documentation		Improper Adherence to Coding Standards	Class		The product does not contain sufficient technical or engineering documentation (whether on paper or in electronic form) that contains descriptions of all the relevant software/hardware elements of the product, such as its usage, structure, architectural components, interfaces, design, implementation, configuration, operation, etc.	
https://cwe.mitre.org/data/definitions/106.html	Struts: Plug-in Framework not in Use		Improper Use of Validation Framework	Variant		When an application does not use an input validation framework such as the Struts Validator, there is a greater risk of introducing weaknesses related to insufficient input validation.	
https://cwe.mitre.org/data/definitions/1060.html	Excessive Number of Inefficient Server-Side Data Accesses		Excessive Code Complexity	Base		The product performs too many data queries without using efficient data processing functionality such as stored procedures.	
https://cwe.mitre.org/data/definitions/1061.html	Insufficient Encapsulation		Improper Adherence to Coding Standards	Class		The product does not sufficiently hide the internal representation and implementation details of data or methods, which might allow external components or modules to modify data unexpectedly, invoke unexpected functionality, or introduce dependencies that the programmer did not intend.	
https://cwe.mitre.org/data/definitions/1062.html	Parent Class with References to Child Class		Insufficient Encapsulation	Base		The code has a parent class that contains references to a child class, its methods, or its members.	
https://cwe.mitre.org/data/definitions/1063.html	Creation of Class Instance within a Static Code Block		Inefficient CPU Computation	Base		A static code block creates an instance of a class.	
https://cwe.mitre.org/data/definitions/1064.html	Invokable Control Element with Signature Containing an Excessive Number of Parameters		Excessive Code Complexity	Base		The product contains a function, subroutine, or method whose signature has an unnecessarily large number of parameters/arguments.	
https://cwe.mitre.org/data/definitions/1065.html	Runtime Resource Management Control Element in a Component Built to Run on Application Servers		Improper Adherence to Coding Standards	Base		The product uses deployed components from application servers, but it also uses low-level functions/methods for management of resources, instead of the API provided by the application server.	
https://cwe.mitre.org/data/definitions/1066.html	Missing Serialization Control Element		Improper Adherence to Coding Standards	Base		The product contains a serializable data element that does not have an associated serialization method.	
https://cwe.mitre.org/data/definitions/1067.html	Excessive Execution of Sequential Searches of Data Resource		Inefficient CPU Computation	Base		The product contains a data query against an SQL table or view that is configured in a way that does not utilize an index and may cause sequential searches to be performed.	
https://cwe.mitre.org/data/definitions/1068.html	Inconsistency Between Implementation and Documented Design		Improper Adherence to Coding Standards	Base		The implementation of the product is not consistent with the design as described within the relevant documentation.	
https://cwe.mitre.org/data/definitions/1069.html	Empty Exception Block		Empty Code Block	Variant		An invokable code block contains an exception handling block that does not contain any code, i.e. is empty.	
https://cwe.mitre.org/data/definitions/107.html	Struts: Unused Validation Form		Irrelevant Code	Variant		An unused validation form indicates that validation logic is not up-to-date.	
https://cwe.mitre.org/data/definitions/1070.html	Serializable Data Element Containing non-Serializable Item Elements		Improper Adherence to Coding Standards	Base		The product contains a serializable, storable data element such as a field or member, but the data element contains member elements that are not serializable.	
https://cwe.mitre.org/data/definitions/1071.html	Empty Code Block		Irrelevant Code	Base		The source code contains a block that does not contain any code, i.e., the block is empty.	
https://cwe.mitre.org/data/definitions/1072.html	Data Resource Access without Use of Connection Pooling		Asymmetric Resource Consumption (Amplification)	Base		The product accesses a data resource through a database without using a connection pooling capability.	
https://cwe.mitre.org/data/definitions/1073.html	Non-SQL Invokable Control Element with Excessive Number of Data Resource Accesses		Asymmetric Resource Consumption (Amplification)	Base		The product contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.	
https://cwe.mitre.org/data/definitions/1074.html	Class with Excessively Deep Inheritance		Excessively Complex Data Representation	Base		A class has an inheritance level that is too high, i.e., it has a large number of parent classes.	
https://cwe.mitre.org/data/definitions/1075.html	Unconditional Control Flow Transfer outside of Switch Block		Excessive Code Complexity	Base		The product performs unconditional control transfer (such as a "goto") in code outside of a branching structure such as a switch block.	
https://cwe.mitre.org/data/definitions/1076.html	Insufficient Adherence to Expected Conventions		Improper Adherence to Coding Standards	Class		The product's architecture, source code, design, documentation, or other artifact does not follow required conventions.	
https://cwe.mitre.org/data/definitions/1077.html	Floating Point Comparison with Incorrect Operator		Incorrect Comparison	Variant		The code performs a comparison such as an equality test between two float (floating point) values, but it uses comparison operators that do not account for the possibility of loss of precision.	
https://cwe.mitre.org/data/definitions/1078.html	Inappropriate Source Code Style or Formatting		Insufficient Adherence to Expected Conventions	Class		The source code does not follow desired style or formatting for indentation, white space, comments, etc.	
https://cwe.mitre.org/data/definitions/1079.html	Parent Class without Virtual Destructor Method		Insufficient Adherence to Expected Conventions	Base		A parent class contains one or more child classes, but the parent class does not have a virtual destructor method.	
https://cwe.mitre.org/data/definitions/108.html	Struts: Unvalidated Action Form		Improper Use of Validation Framework	Variant		Every Action Form must have a corresponding validation form.	
https://cwe.mitre.org/data/definitions/1080.html	Source Code File with Excessive Number of Lines of Code		Excessive Code Complexity	Base		A source code file has too many lines of code.	
https://cwe.mitre.org/data/definitions/1082.html	Class Instance Self Destruction Control Element		Insufficient Adherence to Expected Conventions	Base		The code contains a class instance that calls the method or function to delete or destroy itself.	
https://cwe.mitre.org/data/definitions/1083.html	Data Access from Outside Expected Data Manager Component		Insufficient Encapsulation	Base		The product is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component.	
https://cwe.mitre.org/data/definitions/1084.html	Invokable Control Element with Excessive File or Data Access Operations		Asymmetric Resource Consumption (Amplification)	Base		A function or method contains too many operations that utilize a data manager or file resource.	
https://cwe.mitre.org/data/definitions/1085.html	Invokable Control Element with Excessive Volume of Commented-out Code		Inappropriate Source Code Style or Formatting	Base		A function, method, procedure, etc. contains an excessive amount of code that has been commented out within its body.	
https://cwe.mitre.org/data/definitions/1086.html	Class with Excessive Number of Child Classes		Excessively Complex Data Representation	Base		A class contains an unnecessarily large number of children.	
https://cwe.mitre.org/data/definitions/1087.html	Class with Virtual Method without a Virtual Destructor		Insufficient Adherence to Expected Conventions	Base		A class contains a virtual method, but the method does not have an associated virtual destructor.	
https://cwe.mitre.org/data/definitions/1088.html	Synchronous Access of Remote Resource without Timeout		Incorrect Synchronization	Base		The code has a synchronous call to a remote resource, but there is no timeout for the call, or the timeout is set to infinite.	
https://cwe.mitre.org/data/definitions/1089.html	Large Data Table with Excessive Number of Indices		Asymmetric Resource Consumption (Amplification)	Base		The product uses a large data table that contains an excessively large number of indices.	
https://cwe.mitre.org/data/definitions/109.html	Struts: Validator Turned Off		Improper Use of Validation Framework	Variant		Automatic filtering via a Struts bean has been turned off, which disables the Struts Validator and custom validation logic. This exposes the application to other weaknesses related to insufficient input validation.	
https://cwe.mitre.org/data/definitions/1090.html	Method Containing Access of a Member Element from Another Class		Insufficient Encapsulation	Base		A method for a class performs an operation that directly accesses a member element from another class.	
https://cwe.mitre.org/data/definitions/1091.html	Use of Object without Invoking Destructor Method		Missing Release of Resource after Effective Lifetime | Insufficient Adherence to Expected Conventions	Base		The product contains a method that accesses an object but does not later invoke the element's associated finalize/destructor method.	
https://cwe.mitre.org/data/definitions/1092.html	Use of Same Invokable Control Element in Multiple Architectural Layers		Improper Adherence to Coding Standards	Base		The product uses the same control element across multiple architectural layers.	
https://cwe.mitre.org/data/definitions/1093.html	Excessively Complex Data Representation		Improper Adherence to Coding Standards	Class		The product uses an unnecessarily complex internal representation for its data structures or interrelationships between those structures.	
https://cwe.mitre.org/data/definitions/1094.html	Excessive Index Range Scan for a Data Resource		Asymmetric Resource Consumption (Amplification)	Base		The product contains an index range scan for a large data table, but the scan can cover a large number of rows.	
